step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7487311959266663,0.059725094586610794,2.8423290252685547,0.0,0.1808999478816986,0.03678349405527115,0.6418793201446533,0.0017816259060055017,2.8720587579300627e-06,0.5,-0.09354709833860397,-0.0007695311796851456,-0.1889084279537201,-0.03350650146603584,-0.40394169092178345,-0.0,-0.0059492806904017925,-0.09628190100193024,-0.03678349405527115,-0.1808999478816986,-0.028502382338047028,-0.011732835322618484,-0.32819822430610657,-0.0
1,0,0.7459511160850525,0.038823097944259644,3.0118067264556885,1.4110169410705566,0.1479523777961731,0.08869245648384094,0.6759520769119263,0.011019155383110046,0.04506826400756836,0.5,-0.006367870606482029,-0.33226314187049866,-0.15716144442558289,-0.019641248509287834,-0.07055085152387619,-0.0,-0.005983748007565737,-0.10139280557632446,-0.08869245648384094,-0.1479523777961731,-0.012051872909069061,-0.013911894522607327,-0.26665833592414856,-0.0
2,0,0.7457708716392517,0.024597106501460075,3.412055730819702,3.3833723068237305,0.13079340755939484,0.14382171630859375,0.7487101554870605,0.03009217604994774,0.7106026411056519,0.5,-0.014978667721152306,-0.11327659338712692,-0.07069452852010727,-0.01682162843644619,-0.169168621301651,-0.0,-0.004682228434830904,-0.11230652779340744,-0.14382171630859375,-0.13079340755939484,-0.0048390887677669525,-0.014059574343264103,-0.1507711112499237,-0.0
3,0,0.7475295662879944,0.02594863809645176,3.961416244506836,2.2527248859405518,0.12968820333480835,0.17214612662792206,0.7132046222686768,0.07223779708147049,0.5925136804580688,0.5,-0.05257565528154373,-0.01689167134463787,-0.06939192861318588,-0.00441396189853549,-0.11263624578714371,-0.0,-0.0033884502481669188,-0.10698069632053375,-0.17214611172676086,-0.12968820333480835,-0.005385867320001125,-0.012651926837861538,-0.04771130159497261,-0.0
4,0,0.7502847909927368,0.03094455413520336,4.541987895965576,1.6364858150482178,0.1261192262172699,0.1604316532611847,0.6623905301094055,0.14628253877162933,0.7010562419891357,0.5,-0.07335469871759415,-0.01940111257135868,-0.06471087783575058,-0.00426408089697361,-0.08182429522275925,-0.0,-0.0025939748156815767,-0.09935858100652695,-0.1604316532611847,-0.1261192262172699,-0.00765799917280674,-0.010595902800559998,-0.027413010597229004,-0.0
5,0,0.7536505460739136,0.03537949547171593,5.173015594482422,1.6936969757080078,0.11667370051145554,0.13043981790542603,0.7537707090377808,0.1966584473848343,0.6380019187927246,0.5,-0.09456901252269745,-0.019924212247133255,-0.06888610124588013,-0.007155985105782747,-0.08468484878540039,-0.0,-0.0027487315237522125,-0.11306560784578323,-0.13043981790542603,-0.11667369306087494,-0.010009795427322388,-0.00833150651305914,-0.026540441438555717,-0.0
6,0,0.7575596570968628,0.03899165987968445,5.7818684577941895,1.255014419555664,0.11818768084049225,0.11354643106460571,0.8187556862831116,0.22294476628303528,0.4100761413574219,0.5,-0.12187910079956055,-0.015789685770869255,-0.06958235800266266,-0.00435794610530138,-0.06275071948766708,-0.0,-0.003524470143020153,-0.12281335890293121,-0.11354643106460571,-0.11818767338991165,-0.012156197801232338,-0.006042812019586563,-0.04632752761244774,-0.0
7,0,0.7619561553001404,0.040157705545425415,6.35124397277832,1.257482886314392,0.14003248512744904,0.132808655500412,0.8967438340187073,0.22371318936347961,0.6920816898345947,0.5,-0.1424984633922577,-0.0009765723953023553,-0.0539683923125267,-0.0031690874602645636,-0.06287414580583572,-0.0,-0.0032621733844280243,-0.1345115751028061,-0.132808655500412,-0.14003248512744904,-0.012894174084067345,-0.003906951751559973,-0.0658562183380127,-0.0
8,0,0.7666935920715332,0.03559453412890434,7.139468193054199,2.8745858669281006,0.16427212953567505,0.1660093069076538,1.0216503143310547,0.2343866527080536,0.29628586769104004,0.5,-0.1548120081424713,-0.020342014729976654,-0.07831202447414398,-0.0045497827231884,-0.1437292993068695,-0.0,-0.004386220593005419,-0.15324755012989044,-0.1660093069076538,-0.16427212953567505,-0.010131769813597202,-0.0021247167605906725,-0.08818143606185913,-0.0
9,0,0.7719053626060486,0.023279817774891853,8.030352592468262,2.9721479415893555,0.1859801709651947,0.21209344267845154,1.184358835220337,0.16619911789894104,0.00022853523842059076,0.5,-0.1795017570257187,-0.09480956941843033,-0.11189201474189758,-0.005283205769956112,-0.14860738813877106,-0.0,-0.00558474799618125,-0.17765383422374725,-0.21209344267845154,-0.1859801709651947,-0.004334466066211462,-0.000786272285040468,-0.1343793272972107,-0.0
10,0,0.7769420742988586,0.014902718365192413,9.024575233459473,5.571159362792969,0.2885953187942505,0.25694650411605835,1.3721410036087036,0.09308604896068573,1.7052741163592344e-10,0.5,-0.12548702955245972,-0.10651085525751114,-0.18351325392723083,-0.2118392437696457,-0.27855798602104187,-0.13088107109069824,-0.00612232182174921,-0.20582114160060883,-0.25694650411605835,-0.2885953187942505,-0.0017765627708286047,-0.00011220880696782842,-0.16911301016807556,-0.0
11,0,0.7807440161705017,0.01581851951777935,8.695536613464355,4.367636680603027,0.39219754934310913,0.26049894094467163,1.6141564846038818,0.07922399789094925,4.868287717396669e-11,0.5,-0.04884203523397446,-0.017920317128300667,-0.46304404735565186,-0.04813167080283165,-0.2183818221092224,-0.1309509575366974,-0.01005318108946085,-0.24212346971035004,-0.26049894094467163,-0.39219754934310913,-0.0020016746129840612,-6.643232154601719e-06,-0.3688070774078369,-0.0
12,0,0.7824165225028992,0.01200027298182249,6.771472454071045,9.60615348815918,0.45821401476860046,0.21066027879714966,1.923638105392456,0.17515718936920166,0.3647505044937134,0.5,-0.0059725739993155,-0.0914110466837883,-0.7588316798210144,-0.018235519528388977,-0.4803076386451721,-0.1308991014957428,-0.005614859517663717,-0.28854572772979736,-0.21066027879714966,-0.45821401476860046,-0.0011516240192577243,-7.007663225522265e-05,-0.06347520649433136,-0.0
13,0,0.7825326919555664,0.04210162162780762,5.348968505859375,22.449941635131836,0.4845488369464874,0.1422930359840393,2.109161376953125,0.4887866675853729,0.7300820350646973,0.5,-0.02585446648299694,-0.2993795573711395,-0.40071070194244385,-0.6938217282295227,-1.1224970817565918,-0.13088807463645935,-0.011498929932713509,-0.3163742125034332,-0.1422930210828781,-0.4845488369464874,-0.014171870425343513,-7.697608089074492e-05,-0.0025944700464606285,-0.0
14,0,0.7848969101905823,0.07448851317167282,6.525421142578125,12.716017723083496,0.47391560673713684,0.11995748430490494,2.1760787963867188,0.8178021907806396,0.10811488330364227,0.5,-0.06840809434652328,-0.15222027897834778,-0.6615380048751831,-0.03807063773274422,-0.6358008980751038,-0.1308956742286682,-0.014592314139008522,-0.3264118432998657,-0.11995747685432434,-0.47391560673713684,-0.04430631920695305,-0.00028776010731235147,-0.024501141160726547,-0.0
15,0,0.7878904342651367,0.10780426859855652,7.5208940505981445,2.7836079597473145,0.4257811903953552,0.09270204603672028,2.2427546977996826,1.2917401790618896,0.026119092479348183,0.5,-0.07821834087371826,-0.19628828763961792,-0.5148706436157227,-0.04237232357263565,-0.13918040692806244,-0.052542686462402344,-0.01676294207572937,-0.3364132046699524,-0.09270204603672028,-0.42578116059303284,-0.092614084482193,-0.0007471127901226282,-0.061850208789110184,-0.0
16,0,0.7910048365592957,0.12886354327201843,7.4493584632873535,1.066133975982666,0.3083166480064392,0.10537869483232498,2.3441648483276367,1.3595104217529297,0.00122194760479033,0.5,-0.06840308755636215,-0.036514729261398315,-0.3146681785583496,-0.024347808212041855,-0.0533066987991333,-0.0,-0.014275632798671722,-0.3516247272491455,-0.10537869483232498,-0.3083166480064392,-0.1321125477552414,-0.00145328463986516,-0.11738342046737671,-0.0
