step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7815166115760803,0.07384177297353745,3.3845040798187256,0.0,0.33597996830940247,0.04196302220225334,0.551243245601654,0.0016592720057815313,0.5728402733802795,0.5,-0.05634871870279312,-0.19578586518764496,-0.15715354681015015,-0.012296563014388084,-0.5727434158325195,-0.0,-0.003068394958972931,-0.08268649131059647,-0.04196301847696304,-0.3359799385070801,-0.04354175180196762,-2.7602365662460215e-05,-0.21809206902980804,-0.0
1,0,0.7806946635246277,0.08945797383785248,4.783685684204102,2.689216375350952,0.3538356423377991,0.040277570486068726,0.5505650639533997,0.0017903510015457869,0.3575575351715088,0.5,-0.0017377075273543596,-0.17573809623718262,-0.044243909418582916,-0.014466499909758568,-0.13446080684661865,-0.0,-0.002698867116123438,-0.08258476108312607,-0.040277570486068726,-0.3538356423377991,-0.06385090202093124,-5.791165676782839e-06,-0.23638436198234558,-0.0
2,0,0.7778205275535583,0.10973916202783585,4.89741849899292,0.5457682013511658,0.29361215233802795,0.044894177466630936,0.5501745939254761,0.002148311585187912,0.7038800120353699,0.5,-0.005418215878307819,-0.18660493195056915,-0.06402789801359177,-0.0034348340705037117,-0.0272884089499712,-0.0,-0.0036500103306025267,-0.08252619206905365,-0.044894177466630936,-0.29361215233802795,-0.09595538675785065,-5.699970279238187e-05,-0.08171667158603668,-0.0
3,0,0.7737144827842712,0.13699491322040558,4.0079545974731445,1.7820194959640503,0.2559549808502197,0.032278258353471756,0.6134339570999146,0.005213627591729164,0.6844093799591064,0.5,-0.008718813769519329,-0.23440201580524445,-0.04767374321818352,-0.0036332295276224613,-0.08910097181797028,-0.0,-0.0021433949004858732,-0.0920150950551033,-0.032278258353471756,-0.25595495104789734,-0.149204283952713,-0.00047408838872797787,-0.00383029249496758,-0.0
4,0,0.7692025899887085,0.16589529812335968,3.5095198154449463,3.185927391052246,0.20519517362117767,0.019074302166700363,0.7755206823348999,0.01835186593234539,0.6996633410453796,0.5,-0.003728913376107812,-0.3360850512981415,-0.056567221879959106,-0.0034179578069597483,-0.15929636359214783,-0.0,-0.0014948351308703423,-0.11632810533046722,-0.019074302166700363,-0.20519515872001648,-0.2181580513715744,-0.0013990013394504786,-0.01569053716957569,-0.0
5,0,0.764245331287384,0.19940800964832306,3.602341651916504,2.0380682945251465,0.16628918051719666,0.017423534765839577,0.9704528450965881,0.042801063507795334,0.6902592182159424,0.5,-0.0022631143219769,-0.4514605700969696,-0.10206862539052963,-0.004484272096306086,-0.10190341621637344,-0.0,-0.0022859591990709305,-0.14556792378425598,-0.017423534765839577,-0.16628918051719666,-0.31391406059265137,-0.0029785039369016886,-0.02873476967215538,-0.0
6,0,0.7580418586730957,0.23931021988391876,4.190426349639893,1.6070573329925537,0.1530890166759491,0.04207553341984749,1.2641454935073853,0.0666196271777153,0.19582991302013397,0.5,-0.010286017321050167,-0.476931631565094,-0.147919699549675,-0.006139219272881746,-0.08035286515951157,-0.0,-0.0035311367828398943,-0.18962182104587555,-0.04207553341984749,-0.1530890166759491,-0.4494752287864685,-0.0057859038934111595,-0.035743389278650284,-0.0
7,0,0.7502645254135132,0.282693475484848,4.522810459136963,0.7468559741973877,0.15934765338897705,0.08369595557451248,1.6039347648620605,0.07978974282741547,0.007460027001798153,0.5,-0.021583614870905876,-0.48121166229248047,-0.14770425856113434,-0.007494036108255386,-0.03734279423952103,-0.0,-0.003972017206251621,-0.24059021472930908,-0.08369594812393188,-0.15934765338897705,-0.6224741339683533,-0.010610360652208328,-0.0389593280851841,-0.0
8,0,0.7407703399658203,0.3277725279331207,5.282405376434326,1.3998241424560547,0.1632593870162964,0.1325027495622635,1.9534263610839844,0.09368817508220673,0.0009040645672939718,0.5,-0.04435957968235016,-0.532660722732544,-0.18708883225917816,-0.03727468475699425,-0.06999120861291885,-0.131264328956604,-0.004623757675290108,-0.29301393032073975,-0.1325027495622635,-0.1632593870162964,-0.8291365504264832,-0.01846756786108017,-0.043793439865112305,-0.0
9,0,0.729174017906189,0.3784613013267517,5.807517051696777,1.722304105758667,0.16656558215618134,0.17941716313362122,2.2315635681152344,0.1171262338757515,0.0021711387671530247,0.5,-0.08639408648014069,-0.7227975130081177,-0.16784201562404633,-0.008717816323041916,-0.08611520379781723,-0.13122454285621643,-0.005148045718669891,-0.33473455905914307,-0.17941716313362122,-0.16656558215618134,-1.0921897888183594,-0.030999330803751945,-0.03894985467195511,-0.0
