push_vx,condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
0.8,aap,100,0.0000,1.0000,2.6612,0.7453
0.8,always_l2,100,0.0000,1.0000,0.6727,0.1732
0.8,hard_switch,100,0.0000,1.0000,2.6785,0.7434
1.2,aap,100,0.0100,0.9900,2.8494,1.1167
1.2,always_l2,100,0.0300,0.9700,0.9619,1.0060
1.2,hard_switch,100,0.0000,1.0000,3.1189,1.8696
1.6,aap,100,0.0000,1.0000,3.9300,2.1697
1.6,always_l2,100,0.0600,0.9400,1.4975,1.7716
1.6,hard_switch,100,0.0700,0.9300,4.1156,2.6088
2.0,aap,100,0.1900,0.8100,5.0052,3.6607
2.0,always_l2,100,0.2800,0.7200,2.6349,3.3167
2.0,hard_switch,100,0.1800,0.8200,6.0308,4.6914
