episode,fell,success,fall_step,steps_survived,init_height,min_height,final_height
0,0,1,-1,7,0.7381033301353455,0.7086666822433472,0.7473365664482117
1,0,1,-1,9,0.7527985572814941,0.7419425845146179,0.7602702379226685
2,1,0,9,11,0.7460980415344238,0.7319766283035278,0.7577477693557739
3,0,1,-1,11,0.7568499445915222,0.7160269021987915,0.7822458744049072
4,0,1,-1,12,0.7790239453315735,0.7511728405952454,0.783927321434021
5,1,0,10,12,0.7577430605888367,0.7302311658859253,0.7877439260482788
6,1,0,11,13,0.7395145893096924,0.7059532403945923,0.7790043354034424
7,1,0,12,14,0.7493886351585388,0.7340730428695679,0.763873279094696
8,1,0,12,14,0.76483553647995,0.7452701330184937,0.7493782043457031
9,1,0,12,14,0.7814221978187561,0.7317460179328918,0.7711679935455322
10,1,0,13,15,0.7706089019775391,0.7353646159172058,0.7668892741203308
11,1,0,13,15,0.7617271542549133,0.7183824181556702,0.7630035877227783
12,1,0,13,15,0.7645518183708191,0.7404601573944092,0.7710311412811279
13,1,0,13,15,0.7598639726638794,0.750211238861084,0.779224157333374
14,1,0,15,17,0.7489813566207886,0.7344710826873779,0.7490980625152588
15,1,0,15,17,0.7679974436759949,0.7605891227722168,0.7684797644615173
16,1,0,16,18,0.7861175537109375,0.7676723003387451,0.7751795053482056
17,1,0,16,18,0.7816232442855835,0.7528032064437866,0.7817535996437073
18,1,0,15,18,0.7827734351158142,0.7543128132820129,0.777348518371582
19,1,0,15,18,0.7432731986045837,0.7432731986045837,0.7538262009620667
20,1,0,16,18,0.7797285914421082,0.7589466571807861,0.7892380356788635
21,1,0,10,12,0.7473365664482117,0.7387776374816895,0.7742782831192017
22,1,0,17,19,0.7475876808166504,0.7089604735374451,0.7566126585006714
23,1,0,18,21,0.7532555460929871,0.7380457520484924,0.7901508808135986
24,1,0,19,21,0.7726490497589111,0.7589654922485352,0.782955527305603
25,1,0,19,22,0.7735443711280823,0.7257038354873657,0.7440258860588074
26,1,0,20,22,0.7676444053649902,0.762452244758606,0.7689552307128906
27,1,0,24,26,0.7745485901832581,0.7553313970565796,0.7850987315177917
28,0,1,-1,12,0.7490980625152588,0.7490980625152588,0.7535518407821655
29,1,0,17,20,0.7602702379226685,0.7482491731643677,0.778599202632904
30,1,0,27,30,0.7911645770072937,0.7680547833442688,0.77728271484375
31,1,0,14,16,0.7630035877227783,0.720016360282898,0.7750226259231567
32,1,0,29,31,0.7694076299667358,0.7630102634429932,0.7813780307769775
33,1,0,14,16,0.7538262009620667,0.7538262009620667,0.7669296264648438
34,1,0,21,23,0.783927321434021,0.7297884821891785,0.7493526339530945
35,1,0,15,18,0.7892380356788635,0.7505819201469421,0.7833647727966309
36,1,0,15,17,0.7566126585006714,0.7002959847450256,0.7747683525085449
37,1,0,18,20,0.7742782831192017,0.7668992877006531,0.7745789289474487
38,1,0,17,19,0.7440258860588074,0.7233591675758362,0.7807963490486145
39,1,0,12,14,0.7535518407821655,0.7254559993743896,0.779087245464325
40,1,0,12,14,0.7750226259231567,0.7442585825920105,0.7442585825920105
41,1,0,11,13,0.7669296264648438,0.7172677516937256,0.7864173054695129
42,1,0,16,18,0.77728271484375,0.6178928017616272,0.6178928017616272
43,1,0,26,28,0.782955527305603,0.7528544068336487,0.7727442979812622
44,1,0,34,36,0.7668892741203308,0.7539287805557251,0.7783480286598206
45,1,0,16,18,0.7747683525085449,0.7385711073875427,0.7385711073875427
46,1,0,11,13,0.7727442979812622,0.7233473658561707,0.7809891700744629
47,1,0,17,19,0.6178928017616272,0.5921272039413452,0.7757628560066223
48,1,0,17,19,0.7809891700744629,0.6951727867126465,0.6951727867126465
49,1,0,27,29,0.7385711073875427,0.7369904518127441,0.7766913175582886
50,1,0,17,20,0.7766913175582886,0.7760636210441589,0.7833675742149353
51,1,0,26,28,0.6951727867126465,0.6951727867126465,0.7708867788314819
52,1,0,15,17,0.7708867788314819,0.7335266470909119,0.7723424434661865
53,1,0,12,14,0.7723424434661865,0.7052605748176575,0.7527165412902832
54,1,0,23,25,0.7527165412902832,0.7283145189285278,0.7283145189285278
55,0,1,-1,300,0.7645668983459473,0.7615569829940796,0.7621477246284485
56,0,1,-1,300,0.7319327592849731,0.7319327592849731,0.7775952816009521
57,0,1,-1,300,0.7745703458786011,0.6468507051467896,0.6468507051467896
58,0,1,-1,300,0.7834176421165466,0.761077344417572,0.7785083055496216
59,0,1,-1,300,0.7590746879577637,0.755034327507019,0.7813193798065186
60,0,1,-1,300,0.767241895198822,0.750846266746521,0.7562472224235535
61,0,1,-1,300,0.7606347799301147,0.736763060092926,0.7933986186981201
62,0,1,-1,300,0.7593732476234436,0.725296139717102,0.725296139717102
63,0,1,-1,300,0.7586959600448608,0.7586959600448608,0.7766143083572388
64,0,1,-1,300,0.7943602800369263,0.7445034980773926,0.7788832187652588
65,0,1,-1,300,0.7894308567047119,0.6845933198928833,0.6845933198928833
66,0,1,-1,300,0.7840115427970886,0.7435286045074463,0.754723072052002
67,0,1,-1,300,0.748834490776062,0.748834490776062,0.7840044498443604
68,0,1,-1,300,0.7692192196846008,0.7455199360847473,0.7762660980224609
69,0,1,-1,300,0.7868726849555969,0.7492613196372986,0.7633672952651978
70,0,1,-1,300,0.7527350187301636,0.7489030361175537,0.7538384199142456
71,0,1,-1,300,0.7589569091796875,0.7404568195343018,0.7504602670669556
72,0,1,-1,300,0.7570470571517944,0.7461898326873779,0.769535481929779
73,0,1,-1,300,0.7753891944885254,0.7430242896080017,0.7583245038986206
74,0,1,-1,300,0.7675424814224243,0.7501034736633301,0.7501034736633301
75,0,1,-1,300,0.7832105755805969,0.7359515428543091,0.7591801881790161
76,0,1,-1,300,0.7687418460845947,0.712995171546936,0.7968541383743286
77,0,1,-1,300,0.7711475491523743,0.7458418607711792,0.7458418607711792
78,0,1,-1,300,0.7560735940933228,0.7389882802963257,0.7558965682983398
79,0,1,-1,300,0.7775161266326904,0.7659367322921753,0.7704761624336243
80,0,1,-1,300,0.7759680151939392,0.7377656102180481,0.7553714513778687
81,0,1,-1,300,0.7743963003158569,0.766018271446228,0.766018271446228
82,0,1,-1,300,0.7448067665100098,0.736204206943512,0.782249927520752
83,0,1,-1,300,0.7756969332695007,0.7460726499557495,0.7460726499557495
84,0,1,-1,300,0.7802842855453491,0.7412189245223999,0.7705420851707458
85,0,1,-1,300,0.7657284736633301,0.7532086968421936,0.7661587595939636
86,0,1,-1,300,0.7524465322494507,0.7401100993156433,0.7477717399597168
87,0,1,-1,300,0.7775773406028748,0.7474781274795532,0.7474781274795532
88,0,1,-1,300,0.7511959075927734,0.7491371631622314,0.7491371631622314
89,0,1,-1,300,0.7785318493843079,0.7689338326454163,0.7779543995857239
90,1,0,5,7,0.7840044498443604,0.7220215797424316,0.7875077724456787
91,1,0,8,10,0.7501034736633301,0.6956992745399475,0.753995418548584
92,0,1,-1,300,0.7577477693557739,0.7210322618484497,0.7210322618484497
93,0,1,-1,11,0.6845933198928833,0.6845933198928833,0.7647822499275208
94,0,1,-1,300,0.7822458744049072,0.7517703175544739,0.7890873551368713
95,0,1,-1,300,0.7877439260482788,0.7427071928977966,0.7427071928977966
96,0,1,-1,300,0.7790043354034424,0.7601640224456787,0.7601640224456787
97,1,0,11,13,0.7562472224235535,0.7256066203117371,0.7772437930107117
98,0,1,-1,13,0.725296139717102,0.6720539331436157,0.763011634349823
99,1,0,11,13,0.7591801881790161,0.7366014122962952,0.7736470699310303
100,1,0,11,13,0.7458418607711792,0.7044740319252014,0.7396177053451538
101,1,0,11,13,0.7474781274795532,0.722999095916748,0.7687133550643921
102,1,0,11,14,0.6468507051467896,0.5669605731964111,0.7791166305541992
103,0,1,-1,300,0.763873279094696,0.7403765916824341,0.7553794980049133
104,1,0,12,14,0.754723072052002,0.7322942614555359,0.7840675115585327
105,0,1,-1,300,0.7493782043457031,0.748157799243927,0.75385981798172
106,0,1,-1,300,0.7711679935455322,0.7459709644317627,0.7459709644317627
107,1,0,12,14,0.7661587595939636,0.7162184715270996,0.767804741859436
108,0,1,-1,300,0.7710311412811279,0.7494255304336548,0.7660112380981445
109,0,1,-1,300,0.779224157333374,0.7684938311576843,0.7822564244270325
110,0,1,-1,300,0.7684797644615173,0.7392864227294922,0.7682231068611145
111,0,1,-1,300,0.7751795053482056,0.7649622559547424,0.7787952423095703
112,0,1,-1,300,0.7817535996437073,0.7540255784988403,0.7540255784988403
113,0,1,-1,300,0.777348518371582,0.7573941946029663,0.7573941946029663
114,1,0,16,18,0.766018271446228,0.7416177988052368,0.7633770704269409
115,0,1,-1,300,0.7901508808135986,0.7583839893341064,0.7592610716819763
116,1,0,19,21,0.7460726499557495,0.7460726499557495,0.765988826751709
117,1,0,10,12,0.753995418548584,0.7230069637298584,0.7626964449882507
118,0,1,-1,300,0.7689552307128906,0.7508669495582581,0.7667456865310669
119,1,0,21,23,0.7633672952651978,0.7141177654266357,0.7917509078979492
120,0,1,-1,12,0.7427071928977966,0.7266570329666138,0.7654196619987488
121,0,1,-1,300,0.7850987315177917,0.757927656173706,0.757927656173706
122,1,0,23,26,0.7504602670669556,0.7504602670669556,0.7696523070335388
123,1,0,12,14,0.763011634349823,0.7436457872390747,0.769098699092865
124,1,0,11,13,0.7660112380981445,0.7285929918289185,0.7695764303207397
125,1,0,13,15,0.7791166305541992,0.743128776550293,0.7870945930480957
126,0,1,-1,300,0.778599202632904,0.7395574450492859,0.77195805311203
127,1,0,16,18,0.7601640224456787,0.7589032053947449,0.760958194732666
128,1,0,15,17,0.7553794980049133,0.7348647117614746,0.7705241441726685
129,0,1,-1,300,0.7813780307769775,0.7610620260238647,0.7610620260238647
130,1,0,29,31,0.7704761624336243,0.7608761787414551,0.773343563079834
131,1,0,30,32,0.7785083055496216,0.7707642912864685,0.7707642912864685
132,1,0,29,32,0.7788832187652588,0.7532882690429688,0.7831936478614807
133,1,0,30,32,0.7762660980224609,0.7515283226966858,0.7515283226966858
134,0,1,-1,300,0.7493526339530945,0.7310472726821899,0.764585018157959
135,1,0,18,21,0.7459709644317627,0.7319554686546326,0.7682886123657227
136,0,1,-1,300,0.7833647727966309,0.7679445743560791,0.7718639373779297
137,1,0,22,25,0.7736470699310303,0.7623181939125061,0.7623181939125061
138,0,1,-1,300,0.7745789289474487,0.7621806263923645,0.7621806263923645
139,1,0,11,13,0.769098699092865,0.7448813915252686,0.7536135315895081
140,0,1,-1,300,0.7807963490486145,0.7603956460952759,0.7603956460952759
141,1,0,15,17,0.7654196619987488,0.7577784657478333,0.7809039950370789
142,1,0,13,15,0.757927656173706,0.7230312824249268,0.7615228891372681
143,1,0,9,11,0.7705241441726685,0.7363115549087524,0.7486501932144165
144,0,1,-1,300,0.779087245464325,0.7554038763046265,0.7554038763046265
145,1,0,14,16,0.7695764303207397,0.7233338356018066,0.7233338356018066
146,1,0,11,13,0.773343563079834,0.7508703470230103,0.7697756290435791
147,0,1,-1,300,0.7442585825920105,0.7442585825920105,0.7816002368927002
148,1,0,30,32,0.7396177053451538,0.7396177053451538,0.7819625735282898
149,0,1,-1,300,0.7864173054695129,0.7685827016830444,0.7685827016830444
150,1,0,11,13,0.7718639373779297,0.7292547821998596,0.7424168586730957
151,1,0,47,49,0.7553714513778687,0.7461673617362976,0.7933906316757202
152,1,0,9,11,0.7621806263923645,0.7593091726303101,0.7760705947875977
153,0,1,-1,300,0.7783480286598206,0.7595798969268799,0.7889576554298401
154,1,0,10,12,0.7536135315895081,0.7355151176452637,0.7979539632797241
155,1,0,10,12,0.7486501932144165,0.685321033000946,0.7937927842140198
156,1,0,9,11,0.7233338356018066,0.6898776888847351,0.7867708802223206
157,1,0,14,16,0.7603956460952759,0.7519510984420776,0.773560106754303
158,1,0,37,39,0.7633770704269409,0.7505374550819397,0.7759169340133667
159,1,0,14,16,0.7760705947875977,0.7379226684570312,0.7518882751464844
160,0,1,-1,300,0.7757628560066223,0.7602828741073608,0.7602828741073608
161,1,0,9,11,0.773560106754303,0.7189801335334778,0.7788024544715881
162,1,0,9,11,0.7759169340133667,0.7301871180534363,0.7690131068229675
163,1,0,18,20,0.7889576554298401,0.7681870460510254,0.7688342332839966
164,1,0,19,21,0.7867708802223206,0.7615054249763489,0.78428715467453
165,1,0,10,12,0.7690131068229675,0.7397753596305847,0.757402241230011
166,1,0,13,15,0.7518882751464844,0.7453299760818481,0.776011049747467
167,1,0,12,15,0.7788024544715881,0.7297070622444153,0.7629892230033875
168,1,0,53,55,0.77195805311203,0.7546970844268799,0.7706580758094788
169,1,0,19,22,0.7602828741073608,0.750755250453949,0.7952803373336792
170,1,0,9,11,0.776011049747467,0.7509891986846924,0.7560690641403198
171,1,0,11,13,0.757402241230011,0.695762038230896,0.7842642068862915
172,1,0,25,28,0.7688342332839966,0.7688342332839966,0.7757022380828857
173,0,1,-1,300,0.7833675742149353,0.7322745323181152,0.775273323059082
174,0,1,-1,300,0.7283145189285278,0.703996479511261,0.7671635150909424
175,1,0,19,21,0.7671635150909424,0.7570013999938965,0.7719036340713501
176,1,0,39,41,0.7719036340713501,0.7655590772628784,0.7679488658905029
177,0,1,-1,300,0.7621477246284485,0.7591851353645325,0.775576114654541
178,0,1,-1,300,0.7775952816009521,0.7498865127563477,0.7498865127563477
179,0,1,-1,300,0.7813193798065186,0.7486376762390137,0.7749992609024048
180,0,1,-1,300,0.7933986186981201,0.7599765658378601,0.778415858745575
181,0,1,-1,300,0.7766143083572388,0.7568129301071167,0.7747683525085449
182,0,1,-1,300,0.7538384199142456,0.7490438222885132,0.7879283428192139
183,0,1,-1,300,0.769535481929779,0.7595983743667603,0.7595983743667603
184,0,1,-1,300,0.7583245038986206,0.7545093894004822,0.7545093894004822
185,0,1,-1,300,0.7968541383743286,0.7323446273803711,0.7771530747413635
186,0,1,-1,300,0.7558965682983398,0.7524809837341309,0.7756731510162354
