episode,fell,success,fall_step,steps_survived,init_height,min_height,final_height
0,1,0,6,8,0.7381033301353455,0.6964279413223267,0.7899674773216248
1,1,0,8,10,0.7527985572814941,0.7232486009597778,0.7557893991470337
2,1,0,10,12,0.7460980415344238,0.7233611941337585,0.7800900340080261
3,1,0,10,12,0.76483553647995,0.7421097755432129,0.7754230499267578
4,1,0,10,12,0.7568499445915222,0.71778404712677,0.759504497051239
5,1,0,11,13,0.7617271542549133,0.7339600324630737,0.7609953880310059
6,1,0,11,13,0.7577430605888367,0.7167590856552124,0.7758622169494629
7,1,0,12,14,0.7395145893096924,0.6931800842285156,0.7654143571853638
8,1,0,13,15,0.7489813566207886,0.7489813566207886,0.7731277346611023
9,1,0,13,15,0.7475876808166504,0.7187650799751282,0.7744930982589722
10,1,0,14,16,0.7493886351585388,0.7183836698532104,0.745708703994751
11,1,0,15,17,0.7827734351158142,0.7433826327323914,0.7490980625152588
12,1,0,16,18,0.7790239453315735,0.6082210540771484,0.7751795053482056
13,1,0,16,18,0.7645518183708191,0.7525667548179626,0.7817535996437073
14,1,0,8,10,0.7557893991470337,0.7099652290344238,0.7516213655471802
15,1,0,10,12,0.7609953880310059,0.7372732758522034,0.7697454690933228
16,1,0,10,12,0.745708703994751,0.7083560824394226,0.7562065124511719
17,1,0,11,13,0.7490980625152588,0.7149637937545776,0.7808171510696411
18,1,0,13,15,0.7562065124511719,0.7466010451316833,0.7507426142692566
19,1,0,46,48,0.7606347799301147,0.7328842878341675,0.7891992926597595
20,1,0,18,21,0.7808171510696411,0.7407276034355164,0.7835050225257874
21,0,1,-1,300,0.7706089019775391,0.7452890276908875,0.7696709632873535
22,0,1,-1,300,0.7645668983459473,0.7621592879295349,0.7721893191337585
23,0,1,-1,300,0.7319327592849731,0.7319327592849731,0.7560575604438782
24,0,1,-1,300,0.7745703458786011,0.7726606726646423,0.776253879070282
25,0,1,-1,300,0.7834176421165466,0.772225022315979,0.7776626944541931
26,0,1,-1,300,0.7590746879577637,0.7552779316902161,0.7552779316902161
27,0,1,-1,300,0.7861175537109375,0.7551808953285217,0.7694987058639526
28,0,1,-1,300,0.767241895198822,0.7569664120674133,0.7753032445907593
29,0,1,-1,300,0.7816232442855835,0.7567395567893982,0.7567395567893982
