push_vx,condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
0.8,aap,100,0.5600,0.4400,1.6561,0.5061
0.8,always_l2,100,0.0100,0.9900,0.6787,1.0656
0.8,hard_switch,100,0.5300,0.4700,1.8028,0.5942
1.2,aap,100,0.5100,0.4900,1.6326,0.5494
1.2,always_l2,100,0.0100,0.9900,0.8769,0.6230
1.2,hard_switch,100,0.7200,0.2800,2.4270,1.8496
1.6,aap,100,0.4900,0.5100,1.5688,0.4469
1.6,always_l2,100,0.1300,0.8700,1.7426,2.1165
1.6,hard_switch,100,0.4200,0.5800,1.6999,0.5233
2.0,aap,100,0.5400,0.4600,1.5198,0.4417
2.0,always_l2,100,0.2500,0.7500,2.6081,3.5079
2.0,hard_switch,100,0.4800,0.5200,1.6354,0.5234
